year,unit,value
2000,current_binge_alcohol,
2001,current_binge_alcohol,
2002,current_binge_alcohol,
2003,current_binge_alcohol,
2004,current_binge_alcohol,
2005,current_binge_alcohol,
2006,current_binge_alcohol,
2007,current_binge_alcohol,
2008,current_binge_alcohol,
2009,current_binge_alcohol,
2010,current_binge_alcohol,
2011,current_binge_alcohol,
2012,current_binge_alcohol,
2013,current_binge_alcohol,
2014,current_binge_alcohol,
2015,current_binge_alcohol,26.0
2016,current_binge_alcohol,25.3
2000,current_heavy_alcohol,
2001,current_heavy_alcohol,
2002,current_heavy_alcohol,
2003,current_heavy_alcohol,
2004,current_heavy_alcohol,
2005,current_heavy_alcohol,
2006,current_heavy_alcohol,
2007,current_heavy_alcohol,
2008,current_heavy_alcohol,
2009,current_heavy_alcohol,
2010,current_heavy_alcohol,
2011,current_heavy_alcohol,
2012,current_heavy_alcohol,
2013,current_heavy_alcohol,
2014,current_heavy_alcohol,
2015,current_heavy_alcohol,6.8
2016,current_heavy_alcohol,6.3
