year,state,value
2000,,10.5
2001,,10.7
2002,,11.1
2003,,11.2
2004,,11.9
2005,,11.0
2006,,10.9
2007,,11.1
2008,,14.6
2009,,14.7
2010,,14.5
2011,,14.9
2012,,14.5
2013,,14.3
2014,,14.0
2015,,12.7
2016,,12.3
2000,ME,9.4
2001,ME,9.4
2002,ME,9.8
2003,ME,9.8
2004,ME,9.8
2005,ME,13.3
2006,ME,13.3
2007,ME,13.3
2008,ME,15.4
2009,ME,15.4
2010,ME,15.4
2011,ME,15.1
2012,ME,15.1
2013,ME,15.1
2014,ME,16.4
2015,ME,16.4
2016,ME,16.4
1999,ME,9.4
2000,WI,8.4
2001,WI,8.4
2002,WI,9.0
2003,WI,9.0
2004,WI,9.0
2005,WI,9.0
2006,WI,9.0
2007,WI,9.0
2008,WI,11.8
2009,WI,11.8
2010,WI,11.8
2011,WI,11.6
2012,WI,11.6
2013,WI,11.6
2014,WI,10.7
2015,WI,10.7
2016,WI,10.7
1999,WI,8.4
2000,MD,8.8
2001,MD,8.8
2002,MD,8.6
2003,MD,8.6
2004,MD,8.6
2005,MD,8.6
2006,MD,8.6
2007,MD,8.6
2008,MD,12.5
2009,MD,12.5
2010,MD,12.5
2011,MD,13.3
2012,MD,13.3
2013,MD,13.3
2014,MD,10.1
2015,MD,10.1
2016,MD,10.1
1999,MD,8.8
2000,NJ,7.8
2001,NJ,7.8
2002,NJ,8.5
2003,NJ,8.5
2004,NJ,8.5
2005,NJ,8.8
2006,NJ,8.8
2007,NJ,8.8
2008,NJ,12.1
2009,NJ,12.1
2010,NJ,12.1
2011,NJ,11.4
2012,NJ,11.4
2013,NJ,11.4
2014,NJ,11.1
2015,NJ,11.1
2016,NJ,11.1
1999,NJ,7.8
2000,KY,10.1
2001,KY,10.1
2002,KY,12.2
2003,KY,12.2
2004,KY,12.2
2005,KY,12.7
2006,KY,12.7
2007,KY,12.7
2008,KY,15.6
2009,KY,15.6
2010,KY,15.6
2011,KY,16.4
2012,KY,16.4
2013,KY,16.4
2014,KY,17.3
2015,KY,17.3
2016,KY,17.3
1999,KY,10.1
2000,NY,9.6
2001,NY,9.6
2002,NY,10.5
2003,NY,10.5
2004,NY,10.5
2005,NY,9.9
2006,NY,9.9
2007,NY,9.9
2008,NY,12.9
2009,NY,12.9
2010,NY,12.9
2011,NY,14.0
2012,NY,14.0
2013,NY,14.0
2014,NY,12.5
2015,NY,12.5
2016,NY,12.5
1999,NY,9.6
2000,OH,9.1
2001,OH,9.1
2002,OH,11.4
2003,OH,11.4
2004,OH,11.4
2005,OH,12.2
2006,OH,12.2
2007,OH,12.2
2008,OH,16.4
2009,OH,16.4
2010,OH,16.4
2011,OH,16.0
2012,OH,16.0
2013,OH,16.0
2014,OH,14.8
2015,OH,14.8
2016,OH,14.8
1999,OH,9.1
2000,MT,13.2
2001,MT,13.2
2002,MT,12.2
2003,MT,12.2
2004,MT,12.2
2005,MT,9.5
2006,MT,9.5
2007,MT,9.5
2008,MT,14.1
2009,MT,14.1
2010,MT,14.1
2011,MT,11.8
2012,MT,11.8
2013,MT,11.8
2014,MT,12.9
2015,MT,12.9
2016,MT,12.9
1999,MT,13.2
2000,MA,6.7
2001,MA,6.7
2002,MA,7.1
2003,MA,7.1
2004,MA,7.1
2005,MA,8.0
2006,MA,8.0
2007,MA,8.0
2008,MA,10.8
2009,MA,10.8
2010,MA,10.8
2011,MA,10.6
2012,MA,10.6
2013,MA,10.6
2014,MA,10.3
2015,MA,10.3
2016,MA,10.3
1999,MA,6.7
2000,NV,10.1
2001,NV,10.1
2002,NV,8.5
2003,NV,8.5
2004,NV,8.5
2005,NV,10.4
2006,NV,10.4
2007,NV,10.4
2008,NV,14.7
2009,NV,14.7
2010,NV,14.7
2011,NV,16.2
2012,NV,16.2
2013,NV,16.2
2014,NV,12.1
2015,NV,12.1
2016,NV,12.1
1999,NV,10.1
2000,UT,13.8
2001,UT,13.8
2002,UT,14.8
2003,UT,14.8
2004,UT,14.8
2005,UT,12.5
2006,UT,12.5
2007,UT,12.5
2008,UT,13.0
2009,UT,13.0
2010,UT,13.0
2011,UT,14.3
2012,UT,14.3
2013,UT,14.3
2014,UT,11.5
2015,UT,11.5
2016,UT,11.5
1999,UT,13.8
2000,PA,8.4
2001,PA,8.4
2002,PA,10.2
2003,PA,10.2
2004,PA,10.2
2005,PA,10.0
2006,PA,10.0
2007,PA,10.0
2008,PA,12.5
2009,PA,12.5
2010,PA,12.5
